,class_linear,class_mlp,knn,decode_ssim,scene_centroid_y,scene_centroid_x,scene_orient_sin2pa,scene_ellipticity,scene_asymmetry,scene_flux,scene_colour_rg,scene_concentration,scene_size_rms,aug_brightness,aug_crop_cx,aug_crop_cy,aug_rot_sin
rand_s0,0.333,0.396,0.3575,0.8299,0.3857,0.3807,0.7387,0.4421,0.4543,0.0298,0.4427,0.1071,0.0664,0.1376,0.9767,0.9991,1.0189
rand_s1,0.3175,0.427,0.3845,0.8344,0.4041,0.3547,0.6932,0.4555,0.4687,0.0414,0.3468,0.1241,0.0562,0.1389,0.9792,0.9966,1.0147
rand_s2,0.3435,0.4465,0.3835,0.8308,0.4825,0.4286,0.7235,0.4267,0.4382,0.0277,0.3516,0.1062,0.0565,0.1423,0.98,0.9916,1.0148
BP,0.464,0.4515,0.3945,0.8103,0.9959,0.7271,0.9214,0.5823,0.7156,0.1336,0.0776,0.0551,0.0244,0.4223,0.9759,0.9989,1.0175
PC T=16,0.3335,0.4185,0.346,0.8305,0.3354,0.3294,0.7096,0.431,0.4415,0.026,0.3661,0.0869,0.0549,0.1364,0.9804,0.9999,1.0283
PC T=32,0.3345,0.3665,0.327,0.8089,0.3695,0.5052,0.7205,0.4366,0.4378,0.0552,0.3637,0.0917,0.0646,0.135,0.9861,0.9965,1.0231
PC T=64,0.3315,0.3555,0.2685,0.7774,0.4734,0.449,0.7441,0.4355,0.4351,0.0365,0.3647,0.0963,0.0535,0.1396,0.981,0.9904,1.0205
rand_mean,0.3313,0.4232,0.3752,0.8317,0.4241,0.388,0.7185,0.4414,0.4537,0.033,0.3804,0.1125,0.0597,0.1396,0.9786,0.9957,1.0161
rand_min,0.3175,0.396,0.3575,0.8299,0.3857,0.3547,0.6932,0.4267,0.4382,0.0277,0.3468,0.1062,0.0562,0.1376,0.9767,0.9916,1.0147
rand_max,0.3435,0.4465,0.3845,0.8344,0.4825,0.4286,0.7387,0.4555,0.4687,0.0414,0.4427,0.1241,0.0664,0.1423,0.98,0.9991,1.0189
