layer,BP_prefix,BP_corrected,PC_prefix,PC_corrected
1,0.1578430980443954,0.15736874441305793,0.004266953561455,0.0156542376304666
2,0.4439904689788818,0.4603161911169688,0.0042685666121542,0.08510368814071018
3,0.4129372537136078,0.4201357066631317,0.0042681484483182,0.29179486632347107
4,0.3809446990489959,0.38902366161346436,0.004269250202924,0.5763850013415018
5,0.3747504353523254,0.38050951560338336,0.0042695174925029,0.6949869791666666
6,0.3727667331695556,0.37608710924784344,0.0042684841901063,0.7261017759641012
7,0.3838831484317779,0.38236648837725323,0.0042691184207797,0.8070867856343588
8,0.4046311974525451,0.40119701623916626,0.0179085098206996,0.9436011910438538
9,0.4311920404434204,0.4299696385860443,0.3949206471443176,1.04957910378774
10,0.2261867821216583,0.22803845008214316,0.5019877552986145,0.7359283367792765
