layer,cos_vs_bp_alpha0,cos_vs_bp_alpha1,disp_PC_alpha0,disp_PCALM_alpha1,disp_BP
1,0.066,0.992,0.0156542376304666,0.0494721581538518,0.1573687444130579
2,0.577,0.993,0.0851036881407101,0.2270133545001347,0.4603161911169688
3,0.988,0.991,0.291794866323471,0.5136619408925375,0.4201357066631317
4,0.991,0.986,0.5763850013415018,0.6958803733189901,0.3890236616134643
5,0.987,0.98,0.6949869791666666,0.7815260688463846,0.3805095156033833
6,0.982,0.973,0.7261017759641012,0.9152273138364156,0.3760871092478434
7,0.972,0.952,0.8070867856343588,1.1638059616088867,0.3823664883772532
8,0.958,0.936,0.9436011910438538,1.3086715936660767,0.4011970162391662
9,0.946,0.948,1.04957910378774,0.9217170079549154,0.4299696385860443
10,0.923,0.959,0.7359283367792765,0.7745173176129659,0.2280384500821431
